ResponseID,EndDate,Finished,consent,dem1,dem1_TEXT,dem2,dem2b,dem3,dem4,dem4_TEXT,dem5,dem5_TEXT,dem6,dem7,dem7a,dem7_1_59,dem7_1_60,dem7_1_61,dem7_1_62,dem7_1_63,dem7_1_64,dem7_1_65,dem7_1a_59,dem7_1a_60,dem7_1a_61,dem7_1a_62,dem7_1a_63,dem7_1a_64,dem7_1a_65,dem8,dem9,DR_title,DRtext,DR_equip_1,DR_equip_2,DR_equip_3,DR_equip_4,DR_equip_5,DR_genetic_1,DR_genetic_2,DR_genetic_3,DRtext2,DR_general_1,DR_general_2,DR_general_3,DR_general_4,DR_general_5,DR_general_6,DR_general_7,DR_general_8,DR_general_9,DR_general_10,DR_general_11,DRtext3,DR_harvest_1,DR_harvest_2,DR_harvest_3,DR_harvest_4,DR_harvest_5,DR_harvest_6,DR_person_1,DR_person_2,DR_person_3,DR_person_4,DR_person_5,IB_title,IB_text,IB_equip_1,IB_equip_2,IB_equip_3,IB_equip_4,IB_equip_5,IB_genetic_1,IB_genetic_2,IB_genetic_3,IB_text2,IB_general_1,IB_general_2,IB_general_3,IB_general_4,IB_general_5,IB_general_6,IB_general_7,IB_general_8,IB_general_9,IB_general_10,IB_general_11,IB_text3,IB_harvest_1,IB_harvest_2,IB_harvest_3,IB_harvest_4,IB_harvest_5,IB_harvest_6,IB_person_1,IB_person_2,IB_person_3,IB_person_4,IB_person_5,X,TimeTaken,test
R_a2AFfmtJQu3wBA5,1/22/15 15:25,1,1,2,,,4,,,,,,,1,,0,0,0,1,0,0,0,,,,,,,,,,1,1,2,3,2,3,2,3,2,2,1,2,2,3,2,3,2,2,2,2,3,3,1,2,2,3,3,2,3,2,2,3,2,3,1,1,2.333,1.409,1.774,1.462,1.968,1.226,1.962,2.339,1,1.435,2.022,2.382,2.151,1.194,1.167,2.237,1.677,1.677,1.849,1.124,1,1.263,1.505,1.247,2.048,1.581,1.274,1.237,1.634,1.882,1.339,1.677,,91.31666667,0
R_1i3DpzSIvsnd7SS,1/15/15 15:50,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066666667,0
R_erpi6Fve6IJZv3D,1/26/15 10:30,1,1,3,,,,,,,,,,,1,,,,,,,,0,0,1,0,0,0,0,,3,1,1,2,2,3,2,3,2,3,2,1,2,1,3,2,1,2,2,1,2,2,2,1,2,3,2,3,2,3,4,3,3,4,4,1,1,1.905,1.835,1.302,2.32,1.846,1.808,1.824,2.072,1,1.619,2.207,2.142,1.964,1.953,1.975,2.023,1.549,2.47,1.738,1.727,1,1.835,2.136,1.749,2.029,1.943,1.948,1.894,2.233,1.496,1.253,1.905,,3,0
R_DOBGWWFaiyWiCul,1/26/15 10:40,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,3,1,1,2,3,1,1,2,3,1,2,1,3,2,1,2,2,2,1,3,2,1,2,3,2,1,2,1,1,3,1,1,1.505,2.091,2.753,1.532,1.425,1.495,2.478,1.962,1,1.565,2.505,2.371,1.177,2.075,2.978,2.124,2.763,1.581,1.516,1.806,1,2.731,1.392,2.177,1.505,1.247,1.887,1.72,1.22,1.839,2.392,1.263,,9.25,0
R_3MLHP6z4JIDkWPq,1/20/15 13:50,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,0
R_1NyaKdEvNhkWtOq,1/20/15 15:22,0,1,3,,,,,,,,,2,2,,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.883333333,0
R_1mxclBD2D5FtbBz,1/20/15 15:48,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.283333333,0
R_21gJJMdM3q0sDQo,1/28/15 15:17,1,1,1,,2,,2,2,,2,,1,2,,1,0,0,0,0,0,0,,,,,,,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1.311,1.982,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,5.9,0
R_2qsEC16pTGxtw9L,1/22/15 10:53,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116666667,0
R_2VCOQ9FKX5rR18y,1/22/15 10:59,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0
R_x580p8nZg3zz7gd,2/10/15 12:04,1,1,3,Veterinarian,,,,,,,,,,2,,,,,,,,1,1,0,0,0,0,0,,3,1,1,4,3,3,4,3,2,2,2,1,3,3,3,4,4,4,4,4,3,3,4,1,2,2,2,1,1,1,3,3,3,3,3,1,1,1,1.993,3.007,1,1,,,1,1,1,1,1.993,2.492,1.993,1.993,4,2.476,,1.987,,1,,,,,,,1,1.977,1.982,4,1.483,,10.76666667,0
R_24OEl4W18ZYXvIp,2/10/15 15:41,1,1,3,veterinarian,,,,,,,,,,2,,,,,,,,1,0,0,0,0,0,0,,1,1,1,3,2,3,4,3,2,2,2,1,2,3,3,2,4,4,4,4,2,4,2,1,2,3,3,3,3,2,3,3,3,4,4,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,4.616666667,0
R_2SBmMSssM1BthOP,2/11/15 15:06,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,2.316666667,0
R_2WScxD4VJCtWHTn,2/28/15 10:34,0,1,1,,2,,1,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.083333333,0
R_1hzD5N4zKX2SC4m,3/31/15 9:13,1,1,3,Animal Health Company,,,,,,,,,,2,,,,,,,,1,1,0,1,1,0,1,,1,1,1,3,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,3,3,4,1,2,4,3,2,2,1,3,4,3,3,4,1,1,1.059,2.022,2.618,2.011,2,3.774,4,2.011,1,2.215,2.204,1.978,3.543,,,4,,,2.995,3.57,1,1,1.468,1.478,1,1,1.968,1.403,3.054,,3.887,1.651,,12.16666667,0
R_cGWndAdSZyybAg9,3/31/15 13:04,1,1,3,government,,,,,,,,,,2,,,,,,,,1,1,1,1,1,1,1,,2,1,1,2,2,3,4,3,4,4,2,1,4,4,3,3,4,4,4,2,1,4,3,1,3,3,2,2,2,1,4,3,2,3,3,1,1,1.242,1.462,2.996,1.993,1.977,,,1.343,1,1.907,1.928,2.996,,3.018,1.998,,1.494,3.013,3.018,,1,1.708,1.714,1.687,1.708,1.719,2.138,1,1.821,2.02,3.007,1.832,,15.88333333,0
R_27PuexTPvEuAEhS,5/26/15 14:14,1,1,3,veterinarian,,,,,,,,,,2,,,,,,,,1,0,0,0,0,0,0,,1,1,1,3,3,4,4,3,3,4,3,1,2,3,3,3,4,4,4,4,2,3,3,1,2,2,1,1,1,1,1,2,1,2,3,1,1,1.156,2.004,2.476,1,1,1.209,1.998,1,1,1,1,1,1.977,1.445,1,1,1,2.009,1,1.553,1,1.279,1.311,1.349,1.542,1.531,1.714,1.526,1.499,1,1.258,1.016,,17.18333333,0
R_1QzMOTqRhMqr3Pv,6/15/15 12:00,1,1,3,Veterinarian,,,,,,,,,,2,,,,,,,,1,0,0,0,0,0,0,,1,1,1,3,2,4,4,2,3,2,1,1,2,4,2,,,,,,,,,1,,,,,,,,,,,,1,1,2,3.016,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,6.5,0
R_1kUh4h3m6aZrGr6,6/16/15 16:20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,6.3,0
R_1C9F7YLDUdcr43g,6/16/15 16:34,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,12.01666667,0
R_1OOyft85B96O44G,6/16/15 18:02,0,1,3,veterinarian,,,,,,,,,,2,,,,,,,,1,1,0,0,0,0,0,,1,1,1,4,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,1,3,3,3,3,3,2,4,4,4,4,4,1,1,1.538,1.995,1.973,1.962,1.968,4,3.027,,1,1.989,2.022,2.952,2.984,3.027,3.043,3.038,,,1.984,3.022,1,,,,,,,1,,3,1.952,1.978,,87.01666667,0
R_D8GQNtQv12uufLP,6/30/15 11:26,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0
R_1rJ0WaEr3CaoWZI,7/14/15 9:43,1,1,3,Veterinarian,,,,,,,,,,2,,,,,,,,1,0,0,0,0,0,0,,1,1,1,1,1,3,4,2,2,3,1,1,2,3,3,1,4,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,3,1,1,1.215,2.468,2.441,1.978,2.333,4,4,1,1,1.78,1.753,2.414,2.468,2.505,2.511,3,3.543,2.995,2.172,,1,1,1,1,1.253,1,1,1,2.005,1.57,2.995,2.86,,22.33333333,0
R_1mJkXht3EewAKzm,7/16/15 8:32,1,1,3,Veterinarian for biologic company,,,,,,,,,,2,,,,,,,,1,0,0,0,0,0,0,,1,1,1,4,1,1,4,3,3,4,3,1,3,3,3,4,4,4,4,4,3,3,4,1,2,2,2,1,1,1,4,4,2,4,4,1,1,1.989,3.005,,2.478,1.989,3.005,3.016,1.866,1,1.989,1.978,2.511,,,2.543,,,,2.5,4,1,,,,,,,,,,,2.489,,28.23333333,0
R_6tBsjXg6N8NAJqh,7/16/15 10:56,1,1,3,,,,,,,,,,,2,,,,,,,,1,0,0,0,0,0,1,,1,1,1,3,2,3,4,3,3,4,3,1,3,4,4,2,3,3,4,3,2,4,2,1,2,2,2,2,3,3,3,4,3,4,4,1,1,1.435,2.715,2.005,2,1.473,3.048,3.097,1.129,1,1.925,1.935,1.909,1.919,1.909,1.919,1.151,1.134,2.237,1.925,2.591,1,1.968,2.532,3.032,1.323,1.333,1.285,1.005,1.005,1.005,1.097,1.968,,13.9,0
R_2uUMLuIxvVYWDvl,7/18/15 18:46,1,1,3,Veterinarian,,,,,,,,,,2,,,,,,,,0,0,0,1,0,0,0,,1,1,1,3,3,4,4,3,4,4,4,1,4,4,4,3,4,4,4,4,3,4,3,1,2,2,2,2,2,1,3,3,3,4,4,1,1,1.511,2.564,3.279,1.996,1.94,,,1.225,1,2.002,1.996,2.022,2.952,3.044,,3.024,1.352,4,1.347,,1,2.032,2.022,3.061,,2.017,4,1.005,2.978,2.983,2.968,1.976,,12.78333333,0
R_3nibXGjzIhwNThC,7/23/15 6:45,1,1,3,Veterinarian,,,,,,,,,,2,,,,,,,,1,0,0,0,1,0,0,,1,1,1,3,3,3,4,3,3,4,3,1,3,3,4,3,3,3,4,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,1,1,1,1.054,1.339,1.108,1.097,1.032,1.091,1.048,1,1.167,1.108,1.091,1.091,1.091,1.108,1.118,1.091,1.306,1.151,1.097,1,1.21,1.22,1.151,1.134,1.151,1.167,1,1.038,1.108,1.081,1.065,,6.45,0
R_RVsWI0cOV0VKuqt,7/23/15 11:36,1,1,3,media,,,,,,,,,,2,,,,,,,,1,1,1,1,1,1,1,,1,1,1,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,1,1.645,2.366,2.355,3.005,1,,,,1,2.43,2.634,1.651,2.242,3.075,2.511,2.763,2.581,2.269,2.919,2.651,1,1.995,2.43,2.371,2.613,4,4,1.398,1.989,1.995,1.995,1.414,,36.43333333,0
R_3pnbkU71ZBrQUWu,7/23/15 16:57,1,1,3,Veterinarian,,,,,,,,,,2,,,,,,,,0,0,0,1,0,0,0,,1,1,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,1,3,3,2,1,1,1,4,4,2,4,4,1,1,1.478,2.476,4,1.483,1.488,3.834,3.844,1.977,1,1.553,1.564,2.487,3.748,3.758,2.508,3.775,3.946,3.957,3.737,3.694,1,2.513,2.513,3.952,2.524,3.85,2.524,1.58,3.007,1.623,3.013,1.998,,13.48333333,0
R_22lyPHEd1gQWhpb,7/24/15 8:02,1,1,3,Veterinarian,,,,,,,,,,2,,,,,,,,1,1,0,0,0,0,0,,1,1,1,2,2,3,4,3,3,3,2,1,3,3,3,4,4,4,4,3,3,3,4,1,2,2,2,2,2,2,3,3,3,3,4,1,1,1,2.489,1,1.28,1.274,,,1,1,1.237,1.242,1.989,4,4,4,,1.118,1.978,1.989,,1,,,,,,,1.425,1,1.441,1.989,1.419,,14.05,0
R_9Xhj778YLZcINcl,7/25/15 20:41,1,1,3,Vet,,,,,,,,,,2,,,,,,,,0,0,0,1,1,0,0,,1,1,1,2,3,4,4,2,2,3,2,1,3,3,3,3,3,3,4,3,2,3,3,1,1,2,2,1,1,1,3,2,3,4,4,1,1,1.5,3.471,4,,2.581,,,1.338,1,3.037,,2.507,,,,,,,3.022,,1,1.353,1.963,1.963,1.493,1.294,1.368,1,2.971,,,,,9.983333333,0
R_2zA5hfnhZVhoytM,7/27/15 10:00,1,1,3,,,,,,,,,,,2,,,,,,,,1,1,0,0,1,0,0,,1,1,1,3,2,3,3,2,3,3,3,1,3,3,3,3,3,4,4,3,3,4,3,1,3,3,1,1,3,1,3,2,2,3,3,1,1,1.284,2.515,,2.546,1.978,2.551,3.967,2.551,1,1.991,,2.546,3.333,3.333,1,1,2.527,4,2.324,3.97,1,2.21,2.218,2.24,2.547,2.532,3.011,1,3.253,3.257,3.995,1.04,,27.5,0
R_2Ez6RZPSLbWqQIm,7/20/15 11:24,0,1,3,Veterinarian,,,,,,,,,,1,,,,,,,,1,0,0,0,0,0,0,,1,1,1,3,3,3,3,3,3,3,3,1,4,4,3,4,4,4,4,4,3,4,3,1,3,3,3,2,2,2,3,3,2,3,2,1,1,1.64,2.527,4,1.995,1.995,3.57,3.597,1.263,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,0
R_a5jUEFK0HFvOhxj,7/29/15 15:50,1,1,3,veterinarian,,,,,,,,,,2,,,,,,,,1,0,0,0,0,0,0,,2,1,1,2,3,3,3,3,3,3,3,1,1,2,3,1,2,3,4,2,2,2,1,1,1,2,1,1,1,1,1,3,2,2,3,1,1,1.673,2.002,,4,2.217,3.02,3.009,2.514,1,2.126,,2.514,3.235,3.542,,,,,2.524,3.014,1,,,,,,,1,4,4,4,4,,20.18333333,0
R_UL9RBau8aXfdiud,7/23/15 18:28,0,1,3,,,,,,,,,,,1,,,,,,,,1,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.066666667,0
R_2Vmx1WYp0YE45d3,7/24/15 8:17,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,2.434,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1.583333333,0
R_12MyZ2W1eWRvEiT,7/24/15 10:45,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0
R_DNrdi2L4pR0hwYx,7/24/15 17:27,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0
R_6LuVuixgkRWrsQB,8/4/15 14:18,1,1,3,,,,,,,,,,,2,,,,,,,,1,1,0,0,0,0,0,,1,1,1,3,3,4,4,3,2,4,3,1,2,3,4,4,4,4,4,3,4,3,4,1,3,2,2,1,1,1,4,4,2,4,4,1,1,1.978,3.038,2.011,1.457,1.44,4,4,1.962,1,1,1,3.005,3.022,3.038,1,1,1,4,2.516,3.054,1,1,1,1,1.489,3.022,4,1,1.995,3.054,4,3.022,,9.8,0
R_6rJTBn6OEo9mKQB,7/28/15 18:38,0,1,3,veterinarian,,,,,,,,,,1,,,,,,,,0,0,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.366666667,0
R_6LscZ2po1lCm4Rv,7/28/15 20:28,0,1,1,,3,,3,1,,1,,2,2,,1,0,0,0,0,0,0,,,,,,,,2,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,20.28333333,0
R_00xMsgPXZdYCEx7,8/4/15 21:12,1,1,1,,6,,4,2,,7,All of the above ,4,2,,1,0,0,1,1,0,0,,,,,,,,1,1,1,1,3,2,3,4,3,2,3,3,1,3,3,3,2,4,2,4,3,2,3,2,1,2,2,2,2,2,2,3,3,3,3,3,1,1,1.424,1.44,2.467,1.391,1.391,3.56,3.038,1,1,1,1,1,3.054,3.576,3.592,4,2.011,3.038,1,3.038,1,1,1,1,1,1,1,1,1.995,1.978,1,2.011,,11.2,0
R_3f6Fqi7wf9DmlM1,8/5/15 16:36,1,1,3,,,,,,,,,,,1,,,,,,,,1,0,0,0,0,0,0,,1,1,1,3,3,4,4,2,3,3,2,1,3,4,3,4,4,4,4,4,4,3,4,1,3,3,2,2,2,1,4,4,3,4,4,1,1,1.986,1.991,1.98,3.009,1.975,1.996,1.986,1.964,1,1.98,2.977,1.991,2.987,2.998,3.025,3.025,3.009,3.009,2.993,2.013,1,1.975,1.996,1.452,1.388,1.415,1.372,1.991,2.514,1.975,2.508,3.004,,16.15,0
R_cBg4Q1mSoHsuC5n,8/6/15 15:45,1,1,3,Academia,,,,,,,,,,2,,,,,,,,1,0,0,0,0,0,0,,1,1,1,1,1,4,4,4,2,4,4,1,3,4,1,3,3,4,3,3,3,3,3,1,3,4,4,2,2,1,4,4,3,4,4,1,1,1.156,2.013,1.986,1.991,2.007,3.025,3.02,2.013,1,1.98,1.986,1.415,3.014,3.004,1.991,2.002,1.975,3.456,1.975,2.993,1,2.002,1.97,2.998,3.952,1.98,2.336,1.108,1.646,2.508,2.53,2.524,,6.866666667,0
R_2of2DAK5RTkvpnT,8/4/15 13:16,0,1,3,veterinarian,,,,,,,,,,2,,,,,,,,1,0,0,1,1,0,0,,1,1,1,3,3,4,4,3,1,1,1,1,3,4,2,2,4,4,3,4,2,4,3,1,4,4,2,2,3,2,4,4,4,4,4,1,1,4,1.716,3.004,3.995,3.984,3.979,2.982,3.973,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,0
R_d1n7D3u5bcSob7n,8/4/15 17:41,0,1,3,,,,,,,,,,,2,,,,,,,,1,0,0,1,0,0,0,,1,1,1,2,2,4,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.883333333,0
R_bILwW7JyfPMbdpb,8/6/15 10:46,0,1,3,,,,,,,,,,,2,,,,,,,,1,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.31666667,0
R_dbtomBaOdIMweKV,8/13/15 15:32,1,1,3,Veterinarian,,,,,,,,,,2,,,,,,,,1,0,0,0,0,0,0,,1,1,1,3,2,2,2,2,2,2,2,1,2,3,2,3,3,3,4,4,4,4,4,1,2,2,2,2,2,2,3,3,3,3,3,1,1,1.162,1.991,2.557,,2.551,,,1.98,1,1.512,1.528,3.435,,,3.025,3.02,2.481,3.009,3.009,3.004,1,2.002,1.986,1.975,1.991,1.991,2.002,1,2.519,3.359,,1.436,,8,0
R_cFJY3vofRcZczpb,8/20/15 6:09,1,1,3,Breeding stock vet,,,,,,,,,,2,,,,,,,,1,1,0,0,0,0,0,,1,1,1,3,2,1,2,2,2,2,3,1,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1.179,2.552,4,1.533,1.533,,,1.285,1,1.549,,2.255,,,2.419,,,,2.294,,1,2.705,2.538,2.467,2.525,2.386,2.478,1,,2.935,,,,14.6,0
